,0
0,Arizona
1,California
2,Colorado
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,North Carolina
22,North Dakota
23,Ohio
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
